,Laser Power [W],Scan Speed [mm/s],Layer Thickness [Microm.],Hatch Distance [mm],Laser Energy Density E [J/mm^3],Relative Density [%]
950,375.0,2200.0,50.0,0.1,0.03409090909090909,99.014
951,375.0,1250.0,60.0,0.1,0.05,99.541
952,375.0,1525.0,60.0,0.1,0.040983606557377046,99.438
953,375.0,1300.0,50.0,0.14,0.0412087912087912,99.045
954,375.0,1050.0,50.0,0.14,0.05102040816326531,99.161
955,375.0,1800.0,60.0,0.1,0.034722222222222224,99.147
956,375.0,975.0,50.0,0.12,0.0641025641025641,99.041
957,375.0,975.0,60.0,0.1,0.0641025641025641,98.741
958,375.0,2075.0,60.0,0.1,0.030120481927710843,98.595
959,375.0,925.0,50.0,0.16,0.05067567567567568,98.986
960,375.0,1150.0,50.0,0.16,0.04076086956521739,99.051
961,375.0,1050.0,60.0,0.12,0.0496031746031746,99.263
962,375.0,1275.0,60.0,0.12,0.04084967320261438,99.307
963,375.0,1500.0,60.0,0.12,0.034722222222222224,99.288
964,375.0,1800.0,50.0,0.12,0.034722222222222224,99.008
965,375.0,1525.0,50.0,0.14,0.0351288056206089,99.229
966,375.0,1350.0,50.0,0.16,0.034722222222222224,98.884
967,375.0,825.0,60.0,0.12,0.06313131313131314,97.449
968,375.0,1075.0,60.0,0.14,0.0415282392026578,99.149
969,375.0,1275.0,60.0,0.14,0.03501400560224089,99.145
970,375.0,1725.0,60.0,0.12,0.030193236714975844,98.899
971,375.0,1475.0,60.0,0.14,0.030266343825665856,98.819
972,375.0,2500.0,50.0,0.08,0.0375,98.55
973,375.0,875.0,60.0,0.14,0.0510204081632653,98.483
974,375.0,700.0,60.0,0.14,0.06377551020408162,94.451
975,375.0,2500.0,50.0,0.1,0.03,97.996
976,375.0,825.0,50.0,0.14,0.06493506493506493,98.026
977,375.0,2100.0,50.0,0.12,0.02976190476190476,98.352
978,375.0,1775.0,50.0,0.14,0.030181086519114685,98.039
979,375.0,1550.0,50.0,0.16,0.03024193548387097,98.116
980,375.0,1125.0,60.0,0.16,0.034722222222222224,99.073
981,375.0,1300.0,60.0,0.16,0.030048076923076924,98.851
982,375.0,975.0,60.0,0.16,0.04006410256410257,98.669
983,375.0,725.0,50.0,0.16,0.06465517241379311,96.296
984,375.0,775.0,60.0,0.16,0.05040322580645161,97.669
985,375.0,625.0,60.0,0.16,0.0625,92.476
