Build iteration,Sample build nr.,Maschine,Projekt Name,Laser P [W],Scan [mm/s],Layer thickness [Mikrom.],Hatch distance [mm],Building temperature (deg.C),sample type,support type,tensile direction,Pattern,Kontur Laser P [W],Kontur Scan [mm/s],Stripe Overlap,Contour offset,Spotsize,Streifenbreite,Streifenversch.,Drehwinkel,Abstand zur OK,Kontur Spotsize,Kontur Abstand zur OK,Heat treatment,Yield [Mpa]P pO2,UTS [Mpa]R m,Elongation (%)A,Surface roughness [Ra],OF-optisch,Porositaet Flaeche Bionic polished,Porositaet Flaeche repolished IAPT,Porositaet Kontur,Aufbaurate,VED,Relative density (Archimedis),Relative density,Pulver,Powderbatch,Powder state,Spalte1,Si,Spalte2,Fe,Spalte3,Cu,Spalte4,Mn,Spalte5,Mg,Spalte6,Be,Spalte7,Zn,Spalte8,Ti,D10,D50,D90,Carney Funnel (s/50g),Schuttdichte,Klopfdichte,Bulid finish status,trial category,Date
3,7,Aconity,Alaf parameter development,325,1500,50,0.19,,Density cube,,,,,,,,,,,,,,,,,,,,,,4.252,,51.3,22.80701754,,95.75,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
3,8,Aconity,Alaf parameter development,325,1500,50,0.14,,Density cube,,,,,,,,,,,,,,,,,,,,,,2.05891,,37.8,30.95238095,,97.94,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
3,9,Aconity,Alaf parameter development,325,1500,50,0.09,,Density cube,,,,,,,,,,,,,,,,,,,,,,1.89487,,24.3,48.14814815,,98.11,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
3,10,Aconity,Alaf parameter development,350,1500,50,0.19,,Density cube,,,,,,,,,,,,,,,,,,,,,,3.90862,,51.3,24.56140351,,96.09,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
3,11,Aconity,Alaf parameter development,350,1500,50,0.14,,Density cube,,,,,,,,,,,,,,,,,,,,,,2.07572,,37.8,33.33333333,,97.92,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
3,12,Aconity,Alaf parameter development,350,1500,50,0.09,,Density cube,,,,,,,,,,,,,,,,,,,,,,1.11136,,24.3,51.85185185,,98.89,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
3,13,Aconity,Alaf parameter development,370,1500,50,0.19,,Density cube,,,,,,,,,,,,,,,,,,,,,,3.33492,,51.3,25.96491228,,96.67,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
3,14,Aconity,Alaf parameter development,370,1500,50,0.14,,Density cube,,,,,,,,,,,,,,,,,,,,,,2.07614,,37.8,35.23809524,,97.92,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
3,15,Aconity,Alaf parameter development,370,1500,50,0.09,,Density cube,,,,,,,,,,,,,,,,,,,,,,1.46754,,24.3,54.81481481,,98.53,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
4,1,Aconity,Alaf parameter development,400,1500,30,0.1,30,Density cube,,,,,,,,,,,,,,,,,,,,,,,,16.2,88.88888889,,98.98,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,20190321
4,2,Aconity,Alaf parameter development,400,1000,30,0.19,30,Density cube,,,,,,,,,,,,,,,,,,,,,,,,20.52,70.1754386,,98.94,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,20190321
4,3,Aconity,Alaf parameter development,600,1700,30,0.19,30,Density cube,,,,,,,,,,,,,,,,,,,,,,,,34.884,61.91950464,,98.88,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,20190321
4,4,Aconity,Alaf parameter development,600,1700,30,0.19,300,Density cube,,,,,,,,,,,,,,,,,,,,,,,,34.884,61.91950464,,98.75,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,20190328
4,5,Aconity,Alaf parameter development,400,1500,30,0.19,30,Density cube,,,,,,,,,,,,,,,,,,,,,,,,30.78,46.78362573,,98.74,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,20190321
